"","TotalMass","Period","RoofDriftIndex","BendingRigidityIndex","efficiency"
"23",167.0124,4.184,0.4878,1.00127424717586,1.31771901078512
"21",148.2894,3.929,0.642783333333333,1.00127424717586,1.12625986769611
"30",131.0842,4.421,0.65685,1.00111553254192,1.09761937011876
"29",155.9461,4.967,0.46265,1.0011322011322,1.06446744783753
"6",205.517,3.655,0.262433333333333,0.667976730766231,1.0538281404165
"35",209.7415,3.367,0.20755,0.501055223264258,1.05294935973392
"12",137.9816,3.913,0.746533333333333,1.00090317505572,1.03682563229021
"33",174.046,3.981,0.276366666666667,0.668047989327963,1.03516030799924
"2",179.9949,3.619,0.241416666666667,0.556727927291123,1.03329179679937
"40",230.3004,3.002,0.216116666666667,0.500738403814383,1.0281628648978
"10",178.0084,4.201,0.460816666666667,1.0011327508575,1.02050412707512
"13",150.9736,3.844,0.347283333333333,0.667618385650574,1.02010280857698
"36",196.9426,3.527,0.224666666666667,0.556848928290565,1.02008648055897
"22",211.3178,3.132,0.234683333333333,0.556654912826406,1.01895228303442
"28",157.0994,3.673,0.33985,0.667850681068275,1.0134112378525
"16",223.5925,2.965,0.22855,0.500587662464131,1.013323542064
"32",221.9233,3.392,0.223583333333333,0.556643021386058,1.0129182263884
"3",198.4851,3.485,0.279733333333333,0.667833247555327,1.01049516577902
"15",215.4106,3.012,0.230583333333333,0.50067078538763,1.01022760014044
"34",164.8678,4.044,0.537533333333333,1.0009655402031,1.00858087158455
"9",182.7952,4.234,0.45715,1.0010144230144,1.0078665785191
"17",159.014,3.729,0.324816666666667,0.66797492878915,1.00612735547075
"1",156.1077,3.911,0.321383333333333,0.66778163300966,1.00453952762297
"31",159.4891,4.18,0.52905,1.00111590246856,1.00159001619507
"26",214.7082,3.121,0.222666666666667,0.500756253635835,0.999682822325053
"24",146.0953,4.023,0.63945,1.0010651981932,0.999667865456468
"20",155.9737,3.976,0.323183333333333,0.667682353647853,0.998987400255838
"25",140.1304,4.129,0.664066666666667,1.00093546148219,0.998597738928831
"37",147.8066,4.023,0.6332,1.0009505020961,0.997810216702291
"8",183.1565,3.77,0.2833,0.667868528343385,0.996418831943649
"18",199.1122,3.597,0.278166666666667,0.667798736890373,0.991857880950718
"7",211.2313,3.252,0.22735,0.500645664024832,0.987751801375298
"27",186.8563,3.903,0.276166666666667,0.667885978486036,0.987529993714393
"5",195.9232,3.575,0.29275,0.667631644621912,0.982929386218471
"14",164.2509,3.958,0.321533333333333,0.667555978542101,0.976512991744252
"39",196.4296,3.666,0.235333333333333,0.556587821742211,0.976302101211672
"4",188.1187,3.828,0.289783333333333,0.667698297808616,0.975313133680365
"38",182.3893,4.015,0.298116666666667,0.667633917427987,0.95967327560197
"11",175.6117,4.203,0.308733333333333,0.667571601682971,0.951479651630634
"19",193.7228,3.766,0.250983333333333,0.556397589054616,0.950490063159835
